label n comps time
beg 2000 1.55028 91.1927
mid 2000 1.55028 0
end 2000 1.18551 91.1927
not 2000 2.00624 0
inA 2000 1.73266 0
ran 2000 2.00624 0
beg 2000 1.36789 0
mid 2000 1.36789 91.1927
end 2000 1.55028 0
not 2000 1.82385 0
inA 2000 1.73266 0
ran 2000 2.00624 0
beg 2000 1.91505 0
mid 2000 1.18551 91.1927
end 2000 1.55028 0
not 2000 2.00624 0
inA 2000 0.638349 91.1927
ran 2000 2.00624 91.1927
beg 2000 1.55028 0
mid 2000 1.73266 0
end 2000 1.73266 0
not 2000 1.82385 91.1927
inA 2000 1.73266 0
ran 2000 1.91505 0
beg 2000 1.73266 0
mid 2000 1.91505 91.1927
end 2000 1.00312 0
not 2000 2.00624 0
inA 2000 1.73266 0
ran 2000 1.55028 0
beg 2000 1.91505 0
mid 2000 1.00312 0
end 2000 1.73266 0
not 2000 2.00624 0
inA 2000 1.18551 0
ran 2000 2.00624 0
beg 2000 1.73266 0
mid 2000 1.55028 91.1927
end 2000 1.91505 0
not 2000 2.00624 0
inA 2000 1.55028 91.1927
ran 2000 2.00624 91.1927
beg 2000 1.00312 0
mid 2000 1.55028 0
end 2000 1.55028 91.1927
not 2000 2.00624 0
inA 2000 0.0911927 0
ran 2000 1.91505 0
beg 2000 1.91505 0
mid 2000 1.73266 0
end 2000 1.91505 91.1927
not 2000 2.00624 0
inA 2000 1.91505 0
ran 2000 2.00624 0
beg 2000 1.91505 0
mid 2000 1.36789 0
end 2000 1.36789 0
not 2000 2.00624 0
inA 2000 1.55028 0
ran 2000 2.00624 0
beg 2000 1.36789 0
mid 2000 1.91505 0
end 2000 1.73266 0
not 2000 2.00624 0
inA 2000 1.73266 0
ran 2000 1.36789 91.1927
beg 2000 1.73266 0
mid 2000 1.73266 0
end 2000 1.73266 91.1927
not 2000 2.00624 0
inA 2000 1.73266 0
ran 2000 2.00624 0
beg 2000 1.91505 0
mid 2000 1.55028 91.1927
end 2000 1.00312 0
not 2000 2.00624 0
inA 2000 1.55028 91.1927
ran 2000 2.00624 0
beg 2000 1.73266 0
mid 2000 1.55028 0
end 2000 1.91505 0
not 2000 2.00624 0
inA 2000 1.91505 0
ran 2000 2.00624 0
beg 2000 1.73266 0
mid 2000 1.73266 0
end 2000 1.55028 0
not 2000 2.00624 0
inA 2000 1.91505 0
ran 2000 2.00624 0
beg 2000 1.55028 91.1927
mid 2000 1.55028 0
end 2000 1.91505 0
not 2000 2.00624 91.1927
inA 2000 1.91505 0
ran 2000 2.00624 91.1927
beg 2000 1.73266 0
mid 2000 1.55028 0
end 2000 1.55028 0
not 2000 2.00624 0
inA 2000 1.73266 91.1927
ran 2000 1.91505 0
beg 2000 1.55028 0
mid 2000 1.55028 0
end 2000 1.73266 0
not 2000 2.00624 0
inA 2000 1.55028 0
ran 2000 2.00624 0
beg 2000 1.00312 0
mid 2000 1.55028 0
end 2000 1.36789 0
not 2000 2.00624 0
inA 2000 1.36789 0
ran 2000 2.00624 0
beg 2000 1.73266 0
mid 2000 1.73266 0
end 2000 1.55028 0
not 2000 2.00624 91.1927
inA 2000 1.73266 0
ran 2000 2.00624 0
beg 2000 1.91505 0
mid 2000 1.36789 0
end 2000 1.91505 0
not 2000 2.00624 91.1927
inA 2000 1.73266 0
ran 2000 2.00624 0
beg 2000 1.91505 91.1927
mid 2000 1.73266 91.1927
end 2000 1.36789 91.1927
not 2000 2.00624 0
inA 2000 1.73266 91.1927
ran 2000 1.36789 0
beg 2000 1.73266 91.1927
mid 2000 1.91505 91.1927
end 2000 1.91505 0
not 2000 2.00624 0
inA 2000 1.55028 0
ran 2000 2.00624 91.1927
beg 2000 1.73266 0
mid 2000 1.55028 0
end 2000 1.91505 0
not 2000 2.00624 0
inA 2000 1.73266 0
ran 2000 2.00624 0
beg 2000 1.73266 0
mid 2000 1.73266 0
end 2000 1.91505 0
